MonthNum,Month_en,Month_ar,Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
1,January,كانون الثاني,1,5:12,6:36,11:42,2:27,4:52,6:13
1,January,كانون الثاني,2,5:12,6:36,11:43,2:28,4:53,6:13
1,January,كانون الثاني,3,5:12,6:36,11:43,2:29,4:54,6:14
1,January,كانون الثاني,4,5:12,6:36,11:44,2:30,4:55,6:15
1,January,كانون الثاني,5,5:13,6:37,11:44,2:30,4:55,6:15
1,January,كانون الثاني,6,5:13,6:37,11:44,2:31,4:56,6:16
1,January,كانون الثاني,7,5:13,6:37,11:45,2:32,4:57,6:17
1,January,كانون الثاني,8,5:13,6:37,11:45,2:32,4:58,6:17
1,January,كانون الثاني,9,5:13,6:37,11:46,2:33,4:59,6:18
1,January,كانون الثاني,10,5:13,6:37,11:46,2:34,4:59,6:19
1,January,كانون الثاني,11,5:13,6:37,11:47,2:35,4:00,6:20
1,January,كانون الثاني,12,5:13,6:37,11:47,2:35,4:01,6:20
1,January,كانون الثاني,13,5:13,6:37,11:47,2:36,4:02,6:21
1,January,كانون الثاني,14,5:13,6:37,11:48,2:37,4:03,6:22
1,January,كانون الثاني,15,5:13,6:37,11:48,2:38,4:04,6:23
1,January,كانون الثاني,16,5:13,6:36,11:48,2:39,5:04,6:23
1,January,كانون الثاني,17,5:13,6:36,11:49,2:39,5:05,6:24
1,January,كانون الثاني,18,5:13,6:36,11:49,2:40,5:06,6:25
1,January,كانون الثاني,19,5:13,6:36,11:49,2:41,5:07,6:26
1,January,كانون الثاني,20,5:13,6:35,11:50,2:42,5:08,6:26
1,January,كانون الثاني,21,5:13,6:35,11:50,2:42,5:09,6:27
1,January,كانون الثاني,22,5:12,6:35,11:50,2:43,5:10,6:28
1,January,كانون الثاني,23,5:12,6:35,11:50,2:44,5:11,6:29
1,January,كانون الثاني,24,5:12,6:34,11:51,2:45,5:11,6:30
1,January,كانون الثاني,25,5:12,6:34,11:51,2:46,5:12,6:30
1,January,كانون الثاني,26,5:11,6:34,11:51,2:46,5:13,6:31
1,January,كانون الثاني,27,5:11,6:33,11:51,2:47,5:14,6:32
1,January,كانون الثاني,28,5:11,6:32,11:52,2:48,5:15,6:33
1,January,كانون الثاني,29,5:10,6:32,11:52,2:49,5:16,6:33
1,January,كانون الثاني,30,5:10,6:31,11:52,2:49,5:17,6:34
1,January,كانون الثاني,31,5:09,6:31,11:52,2:50,5:18,6:35
2,February,شباط,1,5:09,6:30,11:52,2:51,5:18,6:36
2,February,شباط,2,5:08,6:29,11:52,2:52,5:19,6:36
2,February,شباط,3,5:08,6:29,11:52,2:52,5:20,6:37
2,February,شباط,4,5:07,6:28,11:53,2:53,5:21,6:38
2,February,شباط,5,5:06,6:27,11:53,2:54,5:22,6:39
2,February,شباط,6,5:06,6:27,11:53,2:54,5:23,6:40
2,February,شباط,7,5:05,6:26,11:53,2:55,5:24,6:40
2,February,شباط,8,5:05,6:25,11:53,2:56,5:25,6:41
2,February,شباط,9,5:04,6:24,11:53,2:56,5:26,6:42
2,February,شباط,10,5:03,6:23,11:53,2:57,5:26,6:43
2,February,شباط,11,5:02,6:23,11:53,2:58,5:27,6:43
2,February,شباط,12,5:02,6:22,11:53,2:58,5:28,6:44
2,February,شباط,13,5:01,6:21,11:53,2:59,5:29,6:45
2,February,شباط,14,5:00,6:20,11:53,2:00,5:30,6:46
2,February,شباط,15,5:59,6:19,11:53,2:00,5:31,6:46
2,February,شباط,16,4:58,6:18,11:53,3:01,5:31,6:47
2,February,شباط,17,4:57,6:17,11:53,3:01,5:32,6:48
2,February,شباط,18,4:57,6:16,11:53,3:02,5:33,6:49
2,February,شباط,19,4:56,6:15,11:53,3:03,5:34,6:49
2,February,شباط,20,4:55,6:14,11:52,3:03,5:35,6:50
2,February,شباط,21,4:54,6:13,11:52,3:04,5:36,6:51
2,February,شباط,22,4:53,6:12,11:52,3:04,5:36,6:52
